age,sex,height_cm,weight_kg,bmi,avg_surplus,days,weight_change
34,Female,157.0,45.7,18.5,392,30,1.16
15,Female,164.0,51.2,19.0,27,21,0.16
21,Male,164.0,75.6,28.1,100,7,-0.28
31,Female,152.0,68.7,29.7,-99,30,-0.01
17,Male,171.0,75.1,25.7,-854,21,-2.0
43,Female,164.0,50.2,18.7,337,60,2.9
58,Male,191.0,50.9,14.0,-58,90,-0.75
68,Female,165.0,78.4,28.8,-641,7,-0.06
42,Male,183.0,84.9,25.4,350,21,1.31
64,Female,157.0,67.0,27.2,-460,21,-1.42
70,Male,173.0,69.4,23.2,-351,60,-2.27
63,Female,165.0,61.5,22.6,59,21,-0.12
41,Male,181.0,73.8,22.5,-476,30,-1.91
33,Male,179.0,96.7,30.2,-891,90,-9.81
69,Male,185.0,93.7,27.4,-418,30,-1.58
28,Female,157.0,85.1,34.5,125,7,0.03
38,Male,174.0,75.9,25.1,-265,21,-0.84
19,Male,176.0,71.3,23.0,169,90,1.94
59,Female,159.0,80.4,31.8,-795,21,-2.12
51,Male,163.0,56.2,21.2,-514,90,-6.0
19,Male,181.0,65.9,20.1,-544,90,-6.08
27,Female,174.0,60.6,20.0,-804,14,-1.71
46,Female,152.0,98.8,42.8,71,21,0.41
45,Female,160.0,60.6,23.7,-585,14,-1.01
59,Female,177.0,75.4,24.1,-191,14,-0.24
29,Male,187.0,89.3,25.5,586,21,1.59
66,Male,188.0,74.0,20.9,-529,21,-1.67
39,Male,178.0,87.0,27.5,-608,21,-1.54
61,Female,165.0,48.2,17.7,497,60,4.42
28,Female,174.0,40.0,13.2,-364,7,-0.55
17,Male,183.0,106.5,31.8,-457,21,-1.41
18,Female,157.0,56.4,22.9,180,90,2.12
35,Male,171.0,49.9,17.1,-706,60,-5.86
68,Male,170.0,83.7,29.0,-333,14,-0.29
17,Female,152.0,70.9,30.7,-601,14,-0.73
35,Female,159.0,75.8,30.0,438,90,5.21
21,Female,156.0,80.6,33.1,-455,30,-1.65
67,Female,170.0,52.1,18.0,-50,90,-0.64
52,Female,158.0,52.8,21.2,-116,90,-1.71
57,Female,165.0,60.5,22.2,-161,21,-0.64
54,Male,189.0,102.6,28.7,-801,30,-3.14
51,Male,192.0,54.2,14.7,-506,21,-1.59
58,Female,154.0,66.8,28.2,383,30,1.52
15,Male,172.0,56.5,19.1,-78,30,-0.59
63,Male,167.0,97.3,34.9,417,60,2.57
56,Male,183.0,84.3,25.2,-61,90,-0.49
56,Male,177.0,79.2,25.3,-423,60,-3.54
37,Female,184.0,40.0,11.8,-382,7,-0.55
59,Male,176.0,77.1,24.9,263,21,0.75
36,Male,171.0,61.2,20.9,-544,30,-2.35
17,Female,151.0,83.7,36.7,0,30,0.24
65,Male,179.0,75.2,23.5,504,90,5.5
28,Male,180.0,60.0,18.5,369,21,1.01
20,Male,154.0,86.6,36.5,-319,60,-2.4
49,Female,162.0,52.0,19.8,-485,21,-1.28
28,Male,192.0,81.4,22.1,33,7,-0.09
63,Female,170.0,72.4,25.1,15,21,0.03
39,Male,160.0,91.4,35.7,184,7,0.47
15,Female,164.0,80.1,29.8,-791,21,-2.3
68,Male,165.0,64.7,23.8,-90,14,-0.38
43,Female,152.0,50.2,21.7,-886,7,-0.89
29,Male,177.0,83.3,26.6,587,30,2.64
52,Female,162.0,75.1,28.6,412,60,3.18
44,Male,175.0,93.5,30.5,210,7,0.5
16,Male,154.0,68.8,29.0,-458,30,-1.82
57,Male,166.0,88.0,31.9,220,30,1.12
37,Male,175.0,52.1,17.0,-232,7,-0.13
54,Male,182.0,76.2,23.0,74,30,0.45
65,Female,164.0,74.9,27.8,-553,14,-1.45
49,Male,172.0,99.7,33.7,-188,60,-1.76
52,Male,183.0,75.7,22.6,416,30,1.92
29,Female,161.0,71.3,27.5,-616,7,-0.31
28,Male,177.0,51.6,16.5,-323,30,-0.81
38,Male,176.0,72.7,23.5,-463,7,-0.8
62,Male,189.0,65.3,18.3,-632,60,-5.27
44,Male,173.0,115.1,38.5,-304,14,-0.77
34,Male,174.0,68.0,22.5,12,21,-0.15
58,Male,182.0,79.1,23.9,-818,60,-6.52
62,Male,164.0,79.9,29.7,-592,90,-6.8
65,Female,170.0,59.7,20.7,326,30,1.06
31,Male,171.0,70.1,24.0,-509,7,-0.45
54,Female,158.0,77.2,30.9,-397,14,-0.41
48,Female,162.0,45.7,17.4,109,30,0.78
40,Male,179.0,43.5,13.6,220,7,0.4
37,Male,169.0,69.5,24.3,539,21,1.58
21,Female,163.0,69.4,26.1,-662,14,-1.24
30,Female,159.0,71.8,28.4,232,14,0.29
45,Male,168.0,96.3,34.1,186,90,2.1
64,Female,155.0,65.7,27.3,-714,90,-8.67
63,Female,154.0,60.1,25.3,415,90,4.89
25,Male,174.0,77.3,25.5,-431,90,-5.29
53,Male,162.0,101.9,38.8,-265,90,-2.8
19,Female,152.0,77.5,33.5,295,14,0.25
52,Male,169.0,47.3,16.6,-114,21,-0.46
34,Female,167.0,62.4,22.4,-488,7,-0.61
40,Male,170.0,71.3,24.7,-417,60,-3.46
55,Female,164.0,72.9,27.1,210,90,2.43
38,Male,185.0,56.2,16.4,-625,7,-1.25
60,Male,183.0,102.3,30.5,-192,14,-0.85
44,Male,177.0,70.2,22.4,221,14,0.62
70,Male,181.0,101.6,31.0,427,90,4.54
50,Female,151.0,63.1,27.7,339,60,2.44
31,Male,175.0,64.1,20.9,-361,14,-0.42
58,Female,174.0,89.8,29.7,-602,7,-0.74
37,Female,156.0,79.0,32.5,502,21,1.08
44,Male,169.0,77.0,27.0,-4,30,-0.23
22,Female,160.0,90.6,35.4,-289,7,0.19
21,Female,171.0,68.4,23.4,453,21,1.29
47,Female,153.0,58.3,24.9,190,30,0.79
25,Male,181.0,58.5,17.9,-185,90,-2.27
70,Female,177.0,55.2,17.6,-608,14,-1.81
62,Female,164.0,64.9,24.1,-778,14,-1.6
54,Female,165.0,71.5,26.3,-104,21,-0.15
56,Male,182.0,100.2,30.2,-729,14,-1.19
48,Female,165.0,58.7,21.6,-435,90,-4.48
18,Male,174.0,67.6,22.3,122,60,0.84
36,Male,175.0,119.2,38.9,-881,14,-1.2
42,Male,182.0,71.5,21.6,585,21,1.81
66,Female,146.0,68.4,32.1,-244,30,-0.81
27,Female,160.0,47.7,18.6,406,90,4.82
42,Male,174.0,73.8,24.4,-642,14,-1.24
34,Female,160.0,64.1,25.0,-209,14,-0.87
22,Male,174.0,91.8,30.3,538,30,1.96
20,Male,164.0,84.1,31.3,49,90,0.61
35,Female,149.0,53.1,23.9,313,14,0.72
19,Female,163.0,61.7,23.2,128,21,0.36
18,Female,160.0,86.2,33.7,210,60,1.68
34,Female,152.0,72.6,31.4,-354,21,-1.08
26,Male,171.0,94.6,32.4,-220,60,-1.2
46,Female,160.0,50.6,19.8,-826,30,-3.49
15,Male,187.0,115.5,33.0,-512,90,-5.41
31,Female,147.0,65.1,30.1,-804,30,-2.65
40,Male,168.0,72.7,25.8,-414,90,-4.97
68,Male,171.0,59.8,20.5,189,90,2.45
50,Male,190.0,60.3,16.7,-594,14,-1.28
64,Female,156.0,59.8,24.6,-182,90,-2.09
34,Male,173.0,112.1,37.5,-72,7,-0.1
40,Female,170.0,93.7,32.4,-655,14,-1.22
38,Female,166.0,57.2,20.8,317,7,0.86
64,Male,170.0,81.3,28.1,257,7,-0.03
68,Female,164.0,42.1,15.7,-619,60,-6.03
68,Male,182.0,111.3,33.6,-846,7,-0.95
57,Male,166.0,100.8,36.6,-894,14,-1.42
43,Female,160.0,56.9,22.2,-461,21,-1.36
45,Male,166.0,85.9,31.2,-712,60,-4.72
69,Male,167.0,87.4,31.3,-874,60,-5.82
30,Male,170.0,77.7,26.9,-209,90,-2.52
34,Female,164.0,54.4,20.2,-112,7,-0.52
65,Male,172.0,66.0,22.3,-873,7,-1.19
36,Male,170.0,95.2,32.9,-2,21,-0.01
28,Female,161.0,71.8,27.7,-295,14,-0.91
46,Male,166.0,74.9,27.2,-600,7,-0.65
33,Female,150.0,69.1,30.7,-734,30,-2.22
64,Male,184.0,96.0,28.4,239,21,0.76
65,Female,146.0,45.1,21.2,-739,21,-2.0
32,Female,168.0,60.2,21.3,-600,7,-0.8
44,Male,178.0,108.3,34.2,169,21,0.46
70,Male,159.0,82.5,32.6,45,21,0.03
56,Female,157.0,70.7,28.7,600,14,1.16
27,Female,158.0,57.9,23.2,-840,60,-6.38
48,Male,174.0,93.3,30.8,-609,90,-6.16
49,Female,172.0,61.7,20.9,93,90,1.12
51,Male,181.0,80.6,24.6,-556,60,-4.19
16,Female,168.0,71.9,25.5,-329,60,-2.67
31,Female,164.0,76.3,28.4,-456,7,-0.14
62,Female,171.0,40.0,13.7,313,21,0.67
28,Female,160.0,54.2,21.2,278,7,0.2
31,Male,196.0,77.6,20.2,309,30,1.5
33,Female,161.0,45.3,17.5,-141,60,-1.33
24,Female,155.0,76.0,31.6,-168,60,-1.48
23,Female,161.0,79.7,30.7,-44,7,-0.13
34,Female,154.0,62.7,26.4,-799,30,-2.77
63,Female,169.0,54.2,19.0,-80,90,-1.63
15,Female,166.0,40.0,14.5,-485,7,-0.46
30,Female,172.0,76.4,25.8,506,30,1.82
18,Female,151.0,93.0,40.8,-624,14,-1.06
46,Male,171.0,72.4,24.8,-848,90,-10.01
29,Male,187.0,89.1,25.5,546,30,2.36
59,Male,176.0,85.6,27.6,-663,60,-5.15
47,Male,171.0,70.8,24.2,-124,30,-0.21
58,Male,166.0,40.0,14.5,-327,90,-3.82
50,Male,160.0,67.9,26.5,-496,14,-0.89
39,Male,165.0,70.8,26.0,-168,60,-1.4
63,Female,156.0,66.3,27.2,199,21,0.66
41,Male,183.0,71.8,21.4,-729,30,-2.69
68,Female,170.0,79.9,27.6,92,60,0.35
70,Male,188.0,77.4,21.9,440,14,0.88
47,Male,169.0,92.8,32.5,-465,90,-4.96
52,Female,165.0,40.0,14.7,117,60,0.88
29,Female,144.0,60.2,29.0,481,21,1.15
60,Female,153.0,49.7,21.2,499,30,1.76
52,Female,165.0,70.9,26.0,72,30,0.64
65,Female,159.0,60.3,23.9,512,21,1.28
29,Female,158.0,61.8,24.8,266,30,1.31
59,Male,185.0,84.1,24.6,-131,30,-0.47
41,Female,169.0,70.6,24.7,-712,60,-5.84
25,Female,165.0,63.4,23.3,380,14,0.73
24,Male,185.0,62.7,18.3,-470,7,-0.74
46,Male,176.0,62.2,20.1,205,21,0.72
32,Female,163.0,59.2,22.3,67,60,0.47
20,Male,189.0,105.2,29.5,-359,7,-0.14
38,Female,161.0,76.0,29.3,262,90,3.43
51,Male,175.0,72.4,23.6,86,21,-0.25
32,Male,171.0,75.2,25.7,218,14,0.28
68,Male,168.0,77.5,27.5,530,21,1.06
58,Female,179.0,82.6,25.8,-488,60,-3.16
43,Male,164.0,96.5,35.9,246,90,2.47
67,Female,153.0,86.6,37.0,-841,30,-3.36
39,Female,164.0,94.0,34.9,164,30,1.15
22,Male,171.0,82.5,28.2,-667,60,-5.36
17,Female,163.0,69.8,26.3,-567,90,-6.97
67,Male,196.0,71.8,18.7,-607,60,-5.09
68,Female,160.0,40.0,15.6,347,90,4.51
56,Male,172.0,93.5,31.6,-339,60,-2.36
20,Male,183.0,78.3,23.4,-316,7,-0.47
31,Female,157.0,65.6,26.6,-358,7,-0.44
17,Female,167.0,40.0,14.3,36,30,0.17
17,Female,151.0,61.0,26.8,474,90,5.82
28,Female,168.0,74.0,26.2,117,14,0.29
47,Male,161.0,126.0,48.6,-749,90,-8.03
18,Male,162.0,81.1,30.9,-127,90,-1.39
70,Male,160.0,61.6,24.1,-739,7,-0.43
40,Female,155.0,80.7,33.6,-652,21,-1.16
29,Male,164.0,101.3,37.7,-605,14,-1.25
43,Male,185.0,58.6,17.1,146,7,0.44
59,Male,175.0,66.7,21.8,414,60,3.13
32,Male,173.0,94.6,31.6,-529,14,-1.26
17,Male,168.0,73.9,26.2,514,30,1.61
17,Male,180.0,76.3,23.5,-502,60,-3.63
62,Male,169.0,94.1,32.9,-439,21,-0.64
21,Female,165.0,40.0,14.7,-710,7,-0.84
50,Male,185.0,56.0,16.4,-830,7,-0.89
36,Male,178.0,57.2,18.1,30,21,-0.36
58,Female,160.0,61.7,24.1,-289,7,-0.04
18,Male,180.0,81.9,25.3,-724,90,-8.47
65,Male,175.0,67.6,22.1,-53,7,-0.53
54,Male,178.0,60.6,19.1,-382,7,-0.29
40,Male,168.0,73.9,26.2,-311,7,-0.64
26,Female,155.0,70.3,29.3,435,60,3.52
69,Male,170.0,65.5,22.7,-295,30,-1.49
31,Male,187.0,68.1,19.5,-220,60,-1.63
42,Male,173.0,60.1,20.1,131,21,0.18
37,Male,181.0,72.5,22.1,442,14,0.2
27,Female,158.0,62.0,24.8,208,60,1.85
38,Male,184.0,109.7,32.4,-161,7,0.14
23,Female,148.0,60.1,27.4,-442,21,-1.32
15,Female,158.0,79.9,32.0,-632,7,-0.46
31,Female,166.0,78.9,28.6,-715,21,-1.84
21,Female,154.0,42.1,17.8,239,90,3.18
38,Female,163.0,45.5,17.1,206,90,3.09
63,Female,152.0,93.4,40.4,-370,60,-2.47
24,Female,160.0,78.1,30.5,509,30,1.7
15,Male,189.0,81.5,22.8,550,21,1.59
21,Male,167.0,86.3,30.9,31,60,0.12
43,Male,167.0,83.2,29.8,-507,90,-6.21
30,Female,154.0,49.0,20.7,-140,30,-0.25
42,Female,157.0,60.6,24.6,334,7,0.44
16,Male,192.0,89.8,24.4,-140,60,-1.49
33,Male,171.0,80.5,27.5,-159,7,-0.31
37,Male,176.0,92.7,29.9,-101,14,0.01
39,Female,159.0,90.7,35.9,364,14,0.19
45,Female,147.0,58.3,27.0,-284,7,-0.46
58,Female,158.0,49.2,19.7,-626,60,-4.09
41,Male,180.0,83.4,25.7,-129,30,-0.59
62,Male,178.0,65.7,20.7,51,21,0.47
44,Male,175.0,98.2,32.1,502,21,1.63
29,Female,156.0,76.9,31.6,-731,30,-2.78
27,Female,166.0,53.3,19.3,514,30,2.06
33,Female,169.0,65.3,22.9,309,14,1.07
48,Male,166.0,83.5,30.3,166,21,0.53
28,Male,179.0,87.9,27.4,-547,60,-3.7
66,Female,155.0,63.4,26.4,-591,30,-2.5
41,Male,187.0,83.6,23.9,-259,60,-1.55
63,Female,156.0,89.9,36.9,-626,30,-2.19
53,Male,171.0,42.7,14.6,84,21,0.16
33,Male,178.0,80.9,25.5,229,60,1.94
27,Female,163.0,62.2,23.4,-183,14,-0.36
56,Male,164.0,86.7,32.2,138,30,0.46
33,Male,178.0,90.0,28.4,269,30,1.17
28,Female,156.0,62.8,25.8,470,14,0.43
67,Male,190.0,62.4,17.3,132,14,0.01
42,Male,173.0,51.0,17.0,-550,7,-0.36
17,Female,165.0,63.5,23.3,-705,7,-0.43
42,Male,165.0,88.5,32.5,511,7,0.51
40,Male,167.0,95.5,34.2,260,30,0.98
63,Male,181.0,67.1,20.5,374,7,0.46
54,Male,184.0,90.1,26.6,-265,30,-0.76
25,Male,167.0,55.5,19.9,-664,7,-0.93
23,Female,161.0,64.4,24.8,-3,60,-0.14
48,Male,164.0,79.9,29.7,60,60,0.45
17,Male,174.0,87.9,29.0,-575,14,-1.0
32,Male,182.0,103.2,31.2,-195,60,-1.88
22,Male,172.0,74.4,25.1,-265,14,-0.76
16,Female,155.0,61.8,25.7,-511,30,-1.99
66,Male,166.0,64.2,23.3,326,30,1.59
20,Male,170.0,67.7,23.4,-171,21,-0.56
15,Male,189.0,111.3,31.2,490,60,3.3
67,Male,176.0,89.4,28.9,-898,90,-10.33
25,Male,167.0,94.7,34.0,508,21,1.17
60,Female,156.0,61.7,25.4,93,14,0.43
16,Female,154.0,69.3,29.2,150,21,0.36
23,Male,167.0,88.5,31.7,-469,30,-1.9
21,Female,148.0,71.9,32.8,-782,7,-0.32
54,Male,174.0,73.6,24.3,-553,90,-6.11
49,Male,190.0,67.9,18.8,-236,21,-0.91
41,Female,173.0,62.8,21.0,-393,90,-4.49
28,Female,166.0,67.6,24.5,-611,90,-7.22
19,Male,180.0,65.7,20.3,-881,7,-0.67
46,Female,173.0,43.3,14.5,147,7,-0.09
27,Male,177.0,82.3,26.3,101,14,0.39
48,Female,164.0,69.9,26.0,-658,30,-2.23
53,Female,165.0,61.0,22.4,275,21,0.48
62,Female,156.0,79.5,32.7,567,7,0.48
42,Female,167.0,54.9,19.7,600,30,2.66
15,Female,158.0,40.2,16.1,-609,14,-1.43
30,Female,167.0,55.2,19.8,-259,90,-3.19
62,Female,149.0,43.4,19.5,-821,60,-6.2
44,Male,177.0,110.6,35.3,-882,90,-9.32
49,Male,173.0,76.9,25.7,366,30,0.99
40,Male,187.0,84.2,24.1,553,60,4.23
24,Female,162.0,78.5,29.9,-597,7,-0.14
65,Male,177.0,95.1,30.4,-204,60,-0.79
58,Male,182.0,76.1,23.0,-864,21,-2.54
70,Female,161.0,72.5,28.0,324,7,0.0
62,Male,181.0,69.4,21.2,-78,7,-0.21
31,Female,168.0,40.0,14.2,-462,14,-0.49
29,Female,165.0,68.9,25.3,554,21,1.71
28,Male,176.0,80.6,26.0,-696,14,-0.92
66,Male,185.0,77.4,22.6,-499,60,-3.58
46,Male,174.0,67.3,22.2,222,21,0.25
40,Male,175.0,66.5,21.7,-287,14,-0.77
69,Male,189.0,71.1,19.9,151,60,0.96
48,Male,188.0,84.9,24.0,-545,21,-1.63
65,Male,175.0,87.9,28.7,88,60,0.48
70,Male,171.0,90.0,30.8,-63,30,-0.4
19,Female,158.0,55.6,22.3,-830,60,-6.33
35,Female,177.0,52.1,16.6,-416,90,-5.31
56,Male,178.0,75.5,23.8,-454,7,-0.06
60,Female,156.0,70.5,29.0,-13,7,0.06
23,Male,178.0,74.8,23.6,-243,60,-2.05
32,Male,175.0,72.4,23.6,-183,30,-0.67
45,Male,170.0,62.4,21.6,-646,14,-1.58
59,Male,176.0,69.5,22.4,494,7,-0.24
21,Male,177.0,80.0,25.5,225,90,2.77
48,Male,172.0,61.0,20.6,105,7,0.38
31,Male,182.0,67.3,20.3,-487,21,-1.31
27,Male,185.0,101.2,29.6,124,14,0.13
43,Female,170.0,40.5,14.0,-548,21,-2.0
38,Female,162.0,79.3,30.2,-170,60,-0.89
50,Female,151.0,70.8,31.1,-498,30,-1.61
32,Female,150.0,45.6,20.3,-445,7,-0.33
61,Female,154.0,59.9,25.3,74,7,0.07
19,Male,180.0,63.2,19.5,-429,90,-5.12
63,Male,176.0,86.6,28.0,195,14,0.01
16,Male,196.0,98.3,25.6,-144,21,-0.34
56,Male,187.0,90.6,25.9,572,60,4.3
34,Female,159.0,62.4,24.7,-612,90,-7.26
36,Male,177.0,57.3,18.3,518,14,1.47
16,Female,160.0,84.7,33.1,-702,14,-1.16
54,Female,161.0,74.3,28.7,-75,21,-0.91
24,Male,161.0,91.1,35.1,-342,21,-0.96
51,Female,160.0,67.7,26.4,229,60,1.5
55,Male,175.0,94.0,30.7,-705,60,-4.98
62,Male,158.0,91.4,36.6,-518,14,-1.28
54,Male,171.0,117.5,40.2,-554,21,-1.23
31,Male,173.0,79.4,26.5,482,60,3.68
56,Female,168.0,63.2,22.4,-97,30,-0.52
61,Male,170.0,80.7,27.9,-654,30,-2.5
32,Male,172.0,64.3,21.7,285,60,2.2
21,Male,189.0,79.0,22.1,-472,30,-1.87
64,Male,180.0,52.1,16.1,-563,30,-2.48
23,Female,152.0,60.1,26.0,-159,21,-0.44
48,Female,154.0,77.3,32.6,288,90,3.12
28,Male,175.0,92.2,30.1,360,7,0.35
22,Female,169.0,49.9,17.5,-877,7,-0.62
58,Male,169.0,63.5,22.2,448,60,3.33
23,Male,183.0,109.1,32.6,596,30,2.14
52,Female,165.0,64.0,23.5,-419,14,-0.07
53,Male,166.0,81.6,29.6,-125,30,-0.5
18,Male,175.0,53.7,17.5,-336,7,-0.34
24,Male,176.0,68.7,22.2,-186,30,-1.01
59,Male,159.0,93.7,37.1,79,21,-0.02
43,Female,162.0,74.6,28.4,76,30,0.27
21,Male,182.0,79.6,24.0,-188,21,-0.39
70,Male,179.0,81.4,25.4,-187,60,-1.25
29,Male,193.0,56.4,15.1,-167,7,-0.09
15,Female,163.0,69.7,26.2,-288,90,-3.2
66,Female,165.0,103.9,38.2,-716,21,-2.07
15,Female,161.0,61.5,23.7,-344,14,-0.52
45,Female,156.0,80.4,33.0,174,90,1.83
70,Female,165.0,59.5,21.9,567,7,0.56
47,Female,162.0,77.6,29.6,319,30,1.14
47,Female,175.0,61.5,20.1,393,7,0.1
36,Male,176.0,106.0,34.2,275,90,2.59
22,Male,170.0,86.7,30.0,-146,7,-0.06
47,Male,178.0,73.7,23.3,123,14,0.36
65,Male,170.0,77.2,26.7,355,30,1.34
20,Male,170.0,65.9,22.8,-566,90,-6.62
64,Female,158.0,67.6,27.1,-677,21,-2.07
38,Female,163.0,50.9,19.2,-501,14,-0.78
45,Male,160.0,78.3,30.6,-106,21,-0.24
24,Male,163.0,60.6,22.8,280,90,3.19
49,Male,166.0,82.0,29.8,-225,90,-2.39
25,Female,166.0,88.3,32.0,575,7,0.62
30,Male,178.0,63.2,19.9,-413,90,-5.2
55,Male,177.0,97.0,31.0,-207,90,-2.16
17,Male,184.0,110.5,32.6,478,30,1.47
40,Female,159.0,56.8,22.5,-644,14,-1.13
48,Male,184.0,87.8,25.9,349,21,0.08
22,Female,156.0,49.9,20.5,-674,60,-5.21
31,Female,170.0,58.3,20.2,461,14,1.01
34,Male,184.0,84.1,24.8,-415,21,-1.16
52,Female,171.0,41.8,14.3,53,21,-0.17
69,Female,165.0,73.1,26.9,168,7,0.77
61,Female,159.0,79.3,31.4,-336,21,-0.48
25,Male,156.0,73.6,30.2,-75,7,-0.18
16,Female,165.0,40.0,14.7,235,7,0.18
17,Female,158.0,61.5,24.6,414,21,0.71
48,Male,184.0,74.4,22.0,-738,60,-5.62
23,Male,188.0,86.9,24.6,-157,90,-2.14
27,Female,156.0,85.3,35.1,380,21,1.09
62,Female,175.0,40.0,13.1,-66,60,-0.25
63,Female,163.0,53.6,20.2,-857,14,-1.58
61,Female,154.0,76.6,32.3,-712,30,-2.82
29,Male,173.0,54.9,18.3,328,30,1.7
49,Male,172.0,56.0,18.9,-265,14,-0.48
49,Female,175.0,93.5,30.5,156,21,0.41
25,Male,180.0,96.5,29.8,439,60,3.21
45,Male,180.0,73.3,22.6,-768,14,-1.34
44,Female,171.0,71.9,24.6,-217,30,-0.9
37,Male,172.0,63.7,21.5,-680,14,-1.57
57,Male,175.0,87.5,28.6,364,30,1.81
52,Male,175.0,106.1,34.6,-221,7,0.32
44,Male,189.0,64.7,18.1,415,21,1.52
55,Male,152.0,103.9,45.0,-450,30,-1.33
57,Male,167.0,83.5,29.9,-682,60,-4.8
46,Male,175.0,78.3,25.6,401,21,0.81
29,Male,166.0,84.0,30.5,20,7,-0.24
57,Female,160.0,68.6,26.8,-611,7,-0.68
55,Female,165.0,92.0,33.8,142,30,0.58
70,Female,157.0,80.4,32.6,-274,60,-2.02
23,Female,153.0,84.1,35.9,-831,90,-8.97
38,Male,180.0,71.7,22.1,-510,60,-3.97
66,Female,159.0,53.7,21.2,225,21,0.58
43,Female,162.0,54.9,20.9,-710,21,-1.71
67,Male,174.0,79.6,26.3,-394,90,-4.59
15,Male,175.0,121.2,39.6,-511,90,-5.78
16,Female,168.0,51.9,18.4,200,21,0.68
59,Female,160.0,49.3,19.3,390,21,1.54
35,Male,171.0,82.1,28.1,282,7,0.26
44,Male,185.0,74.6,21.8,173,14,0.58
38,Male,180.0,74.9,23.1,-766,30,-3.11
37,Male,184.0,79.4,23.5,472,30,1.98
67,Female,163.0,78.4,29.5,-658,30,-2.8
20,Female,163.0,40.2,15.1,-292,14,-0.64
58,Male,165.0,70.7,26.0,342,14,0.55
64,Female,162.0,54.8,20.9,-540,21,-1.33
51,Female,165.0,68.1,25.0,-575,90,-6.95
37,Female,155.0,53.9,22.4,-861,90,-10.44
23,Male,166.0,68.0,24.7,-363,7,-0.22
53,Female,160.0,72.0,28.1,-157,21,-0.3
41,Female,163.0,55.3,20.8,-199,30,-0.75
23,Female,166.0,79.0,28.7,-841,14,-1.32
35,Male,161.0,62.6,24.2,-593,21,-1.67
68,Male,162.0,66.7,25.4,-894,7,-0.72
29,Female,162.0,77.5,29.5,-563,21,-1.62
24,Male,159.0,66.5,26.3,7,90,0.02
53,Female,165.0,75.3,27.7,-887,90,-10.27
26,Male,176.0,63.8,20.6,-653,7,-0.07
66,Female,174.0,55.0,18.2,-84,30,-0.13
63,Male,174.0,67.7,22.4,-60,90,-0.53
70,Male,172.0,63.6,21.5,445,60,3.72
66,Male,182.0,67.3,20.3,-40,7,-0.77
28,Male,177.0,69.7,22.2,489,21,1.41
26,Male,170.0,84.1,29.1,186,60,1.66
34,Male,175.0,79.0,25.8,-74,90,-0.84
41,Male,178.0,61.6,19.4,-325,14,-0.6
64,Female,169.0,86.4,30.3,-733,14,-1.49
56,Female,166.0,78.0,28.3,158,14,0.16
51,Female,156.0,58.0,23.8,508,90,5.7
64,Male,170.0,90.4,31.3,-351,14,-0.27
51,Female,154.0,56.8,24.0,-367,21,-0.58
36,Female,154.0,78.7,33.2,-754,7,-0.13
38,Male,174.0,104.3,34.4,-3,90,-0.25
43,Female,169.0,72.8,25.5,-435,7,-0.57
19,Female,162.0,42.4,16.2,-885,30,-3.96
56,Male,182.0,86.7,26.2,-889,7,-1.11
51,Male,173.0,61.0,20.4,-397,21,-1.37
55,Male,180.0,74.8,23.1,-206,30,-0.95
44,Male,177.0,69.0,22.0,-214,60,-1.43
58,Female,158.0,46.5,18.6,211,30,0.61
68,Female,152.0,74.6,32.3,-108,21,0.07
46,Female,158.0,50.7,20.3,277,14,0.88
39,Male,175.0,94.6,30.9,-455,60,-3.12
20,Male,180.0,91.9,28.4,-552,60,-4.03
58,Female,167.0,90.2,32.3,-91,60,-1.04
65,Male,155.0,74.1,30.8,-742,60,-5.38
54,Female,160.0,59.3,23.2,247,14,0.5
63,Female,175.0,58.1,19.0,-622,90,-7.2
63,Male,176.0,43.8,14.1,473,90,6.52
59,Female,165.0,57.8,21.2,576,21,1.27
43,Male,180.0,75.6,23.3,-94,14,-0.31
20,Male,176.0,82.0,26.5,-432,21,-1.2
15,Male,175.0,71.2,23.2,-392,21,-1.18
26,Male,184.0,101.0,29.8,-256,90,-3.23
39,Male,170.0,84.9,29.4,-181,14,-0.45
56,Female,163.0,54.1,20.4,-787,90,-9.27
40,Female,161.0,71.1,27.4,-604,14,-0.72
16,Male,186.0,101.5,29.3,284,90,3.1
26,Female,171.0,77.5,26.5,-821,90,-9.41
69,Female,169.0,83.9,29.4,-227,30,-0.48
70,Male,174.0,69.7,23.0,413,7,0.21
36,Male,179.0,56.3,17.6,-769,30,-3.23
60,Male,173.0,77.4,25.9,489,90,5.89
55,Female,154.0,68.4,28.8,-191,90,-2.11
67,Female,149.0,69.6,31.3,-265,21,-0.62
64,Male,178.0,81.9,25.8,170,21,0.25
50,Female,160.0,83.4,32.6,266,21,0.84
37,Male,171.0,59.0,20.2,-190,14,-0.44
50,Female,163.0,53.0,19.9,-776,30,-3.02
32,Female,170.0,46.1,16.0,553,90,7.15
34,Female,168.0,72.3,25.6,-887,14,-1.4
49,Male,172.0,73.9,25.0,408,90,5.3
46,Male,177.0,67.4,21.5,-249,7,-0.43
47,Female,167.0,43.6,15.6,-128,7,-0.11
36,Male,181.0,70.0,21.4,248,90,2.52
37,Male,179.0,74.8,23.3,511,7,0.84
15,Male,173.0,73.3,24.5,-675,21,-1.83
48,Female,156.0,48.6,20.0,317,90,3.62
47,Male,167.0,84.3,30.2,92,21,0.24
67,Female,155.0,74.6,31.1,-348,14,-0.54
43,Female,165.0,72.0,26.4,-261,7,-0.43
